S,N,Forward,Backward,Difference,Zeta - Forward,Zeta - Backward,Absolute Error Ratio
,,,,,,,
2,10000,1.644834072,1.644834072,5.55E-15,1.00E-04,1.00E-04,1
,,,,,,,
2,100000,1.644924067,1.644924067,1.60E-14,1.00E-05,1.00E-05,0.999999998
,,,,,,,
2,1000000,1.644933067,1.644933067,4.37E-14,1.00E-06,1.00E-06,0.999999956
,,,,,,,
3,10000,1.202056898,1.202056898,3.77E-15,5.00E-09,5.00E-09,0.999999245
,,,,,,,
3,100000,1.202056903,1.202056903,1.37E-13,4.99E-11,5.00E-11,0.997250819
,,,,,,,
3,1000000,1.202056903,1.202056903,8.77E-12,9.27E-12,4.96E-13,18.69413345
